CATEGORY IMAGE LOCATION,PRODCUT CATEGORY,PRODUCT SUB CATEGORY,PART SERIES,P/N,DESCRIPTION,PACKAGE QTY,SHIPPING DIMENSIONS HxWxL,SHIPPING WEIGHT,1 PKG COST,3 PKG COST,SHIPPING DIMENSIONS HxWxL,SHIPPING WEIGHT,5 PKG COST,SHIPPING DIMENSIONS HxWxL,SHIPPING WEIGHT,10 PKG COST,SHIPPING DIMENSIONS HxWxL,SHIPPING WEIGHT,QUANTITY IN STOCK,BACKORDER LEADTIME,REORDER LIMIT,COUNTRY OF ORIGIN,DFAR?,MFR C OF C,MATERIAL CERTS,PROCESS CERTS,TEST REPORTS,MFR,LOT IN USE,COST PER EA,CERT LOCATION,PER PIECE WEIGHT,PRODUCT IMAGE,SPEC SHEET,CERTIFICATE
,SCREWS,HEX CAP SCREWS,MS35307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MS35307-303,"1/4-20 X 1/2 HEX CAP SCREW STAINLESS STEEL DFAR",50,,0.65,57.78,48.25,,,42.15,,,39.90,,,,,2-3 DAYS,100,USA,Y,Y,Y,Y,Y,USA MFR,,0.39,,0.0118,MS35307-303.jpg,MS35307-303-spec.pdf,MS35307-303-cert.pdf
,,,,MS35307-306,"1/4-20 X 3/4 HEX CAP SCREW STAINLESS STEEL DFAR",50,,1.00,81.50,59.78,,,54.34,,,48.91,,,,,2-3 DAYS,100,USA,Y,Y,Y,Y,Y,USA MFR,,0.54,,0.01433,MS35307-306.jpg,MS35307-306-spec.pdf,MS35307-306-cert.pdf
,,,,MS35307-333,"5/16-18 X 7/8 HEX CAP SCREW STAINLESS STEEL DFAR",50,,1.30,141.88,104.05,,,94.59,,,85.13,,,1690,2-3 DAYS,50,USA,Y,Y,Y,Y,Y,STILLWATER FASTENER,I15ZMS,0.94587,,0.02557,MS35307-333.jpg,MS35307-333-spec.pdf,MS35307-333-cert.pdf
,,,,MS35307-360,"3/8-16 X 1 HEX CAP SCREW STAINLESS STEEL DFAR",25,,1.02,101.42,74.37,,,67.61,,,60.85,,,,,2-3 DAYS,50,USA,Y,Y,Y,Y,Y,USA MFR,,1.35225,,0.04067,MS35307-360.jpg,MS35307-360-spec.pdf,MS35307-360-cert.pdf
,,,,MS35307-370,"3/8-16 X 3 HEX CAP SCREW STAINLESS STEEL DFAR",10,,1.10,108.55,79.60,,,72.37,,,65.13,,,,,2-3 DAYS,50,USA,Y,Y,Y,Y,Y,USA MFR,,3.61836,,0.1019,MS35307-370.jpg,MS35307-370-spec.pdf,MS35307-370-cert.pdf
,SCREWS,HEX CAP SCREWS,MS35308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MS35308-303,"1/4-28 X 1/2 HEX CAP SCREW STAINLESS STEEL DFAR FINE",50,,0.62,85.57,62.75,,,57.04,,,51.34,,,,,2-3 DAYS,50,USA,Y,Y,Y,Y,Y,USA MFR,,0.57044,,0.01217,MS35308-303.jpg,MS35308-303-spec.pdf,MS35308-303-cert.pdf
,,,,MS35308-306,"1/4-28 X 3/4 HEX CAP SCREW STAINLESS STEEL DFAR FINE",50,,0.76,107.51,78.84,,,71.67,,,64.51,,,,,2-3 DAYS,50,USA,Y,Y,Y,Y,Y,USA MFR,,0.71673,,0.01513,MS35308-306.jpg,MS35308-306-spec.pdf,MS35308-306-cert.pdf
,,,,MS35308-334,"5/16-24 X 1 HEX CAP SCREW STAINLESS STEEL DFAR FINE",25,,0.73,137.74,101.01,,,91.83,,,82.64,,,,,2-3 DAYS,50,USA,Y,Y,Y,Y,Y,USA MFR,,1.83655,,0.02907,MS35308-334.jpg,MS35308-334-spec.pdf,MS35308-334-cert.pdf
,,,,MS35308-363,"3/8-24 X 1-3/8 HEX CAP SCREW STAINLESS STEEL DFAR FINE",10,,0.54,90.86,66.63,,,60.57,,,54.51,,,540,2-3 DAYS,50,USA,Y,Y,Y,Y,Y,STILLWATER FASTENERS,B02AAMS,3.02852,,0.054,MS35308-363.jpg,MS35308-363-spec.pdf,MS35308-363-cert.pdf
,,,,MS35308-366,"3/8-24 X 2 HEX CAP SCREW STAINLESS STEEL DFAR FINE",5,,0.50,97.03,71.16,,,64.69,,,58.22,,,,,2-3 DAYS,50,USA,Y,Y,Y,Y,Y,USA MFR,,6.46875,,0.07375,MS35308-366.jpg,MS35308-366-spec.pdf,MS35308-366-cert.pdf
